; ===================================================================
; GAME C-STYLE CLASSES (pong* gm* pcr* state* MatchData*)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; NOTE: TT uses pong*/gm*/pcr*/state* prefixes, not C* like GTA IV

; RTTI ADDR     VTABLE        VFUNCS  CLASS
  0x82094D60  0x8206FF24      14  stateSendSyncronization_NetStateSync
  0x82094DB0  0x8206FEE4      14  stateRequestSyncronization_NetStateSync
  0x82094E00  0x8206FE9C      14  stateEnterState_NetStateSync
  0x82094E50  0x8206FE5C      14  stateWaitForSyncState_NetStateSync
  0x82094EA0  0x8206FE14      14  stateInit_NetStateSync
  0x82095018  0x82070014       2  pongPaddle
  0x820950C4  0x82070149      23  pongGameContext
  0x8209511C  0x82070101      14  pongGameState
  0x82095170  0x820701C2       1  pongGame
  0x82098B98  0x82074844      22  gdMovieData
  0x82098EB8  0x82074D98      22  gdCSCharAnimNames
  0x82098F08  0x82074D38      22  gdCSCharAnimData
  0x82098F58  0x82074CD0      22  gdCSCharCamShotName
  0x82098F90  0x82074E10      22  gdCSCamAnimShotName
  0x82098FC8  0x820753AC      22  gdCSActionShowAllAmbientsData
  0x82099018  0x82075344      22  gdCSActionCharAmbAnimData
  0x8209906C  0x820752E4      22  gdCSActionLvlAmbAnimData
  0x820990BC  0x8207527C      22  gdCSActionPlayAudioData
  0x82099110  0x8207521C      22  gdCSActionCharVisibleData
  0x82099160  0x820751B4      22  gdCSActionCharAnimData
  0x820991B4  0x82075154      22  gdCSActionCamAnimData
  0x82099204  0x820750EC      22  gdCSActionWaitData
  0x82099258  0x8207508C      22  gdCSActionIfData
  0x820992A8  0x82075024      22  gdCSActionLoopData
  0x820992FC  0x82074FC4      22  gdCutSceneData
  0x8209934C  0x82074F5C      22  gdCSNameData
  0x82099398  0x82074EFA      22  gdCutSceneNames
  0x8209981C  0x82078EB1       1  pongHUDLive
  0x820998A0  0x82078EF8      31  pongCSReplayDirector
