; ===================================================================
; LEAF FUNCTIONS — MAKE NO OUTGOING CALLS (likely math/physics primitives)
; Rockstar Table Tennis  -  default.xex
; ===================================================================

; ADDRESS         NAME
; --------------  ----------------------------------------

  0x821632F8  sub_821632F8  [called 2x]
  0x82163918  sub_82163918  [called 0x]
  0x82163928  sub_82163928  [called 0x]
  0x82163BA8  sub_82163BA8  [called 1x]
  0x82163D88  sub_82163D88  [called 1x]
  0x82164020  sub_82164020  [called 0x]
  0x82164120  sub_82164120  [called 0x]
  0x821643D0  sub_821643D0  [called 0x]
  0x821643E0  sub_821643E0  [called 0x]
  0x82164D48  sub_82164D48  [called 1x]
  0x82164D90  sub_82164D90  [called 1x]
  0x82165338  sub_82165338  [called 8x]
  0x82165388  sub_82165388  [called 15x]
  0x82165458  sub_82165458  [called 0x]
  0x82166068  sub_82166068  [called 0x]
  0x82166370  sub_82166370  [called 1x]
  0x82166DB8  sub_82166DB8  [called 0x]
  0x82166E38  sub_82166E38  [called 0x]
  0x82167028  sub_82167028  [called 1x]
  0x82168CB0  sub_82168CB0  [called 2x]
  0x82168D38  sub_82168D38  [called 1x]
  0x82168DC0  sub_82168DC0  [called 2x]
  0x821690B0  sub_821690B0  [called 4x]
  0x82169408  sub_82169408  [called 2x]
  0x8216B908  sub_8216B908  [called 1x]
  0x8216BA10  sub_8216BA10  [called 1x]
  0x8216BAF0  sub_8216BAF0  [called 2x]
  0x8216BB88  sub_8216BB88  [called 2x]
  0x8216BBE8  sub_8216BBE8  [called 0x]
  0x8216BBF0  sub_8216BBF0  [called 1x]
  0x8216BD88  sub_8216BD88  [called 3x]
  0x8216C100  sub_8216C100  [called 1x]
  0x8216C178  sub_8216C178  [called 2x]
  0x8216C710  sub_8216C710  [called 1x]
  0x8216CD30  sub_8216CD30  [called 0x]
  0x8216CE40  sub_8216CE40  [called 0x]
  0x8216CFB8  sub_8216CFB8  [called 1x]
  0x8216D9B8  sub_8216D9B8  [called 2x]
  0x8216DCB0  sub_8216DCB0  [called 0x]
  0x8216EB58  sub_8216EB58  [called 0x]
  0x8216EBF0  sub_8216EBF0  [called 0x]
  0x8216EC30  sub_8216EC30  [called 0x]
  0x8216ECA8  sub_8216ECA8  [called 0x]
  0x8216ED00  sub_8216ED00  [called 0x]
  0x8216ED90  sub_8216ED90  [called 0x]
  0x82170640  sub_82170640  [called 1x]
  0x82172AE8  sub_82172AE8  [called 1x]
  0x82172B60  sub_82172B60  [called 1x]
  0x82172C08  sub_82172C08  [called 5x]
  0x82173430  sub_82173430  [called 1x]
  0x821734D0  sub_821734D0  [called 2x]
  0x82173548  sub_82173548  [called 1x]
  0x821735C0  sub_821735C0  [called 2x]
  0x82173638  sub_82173638  [called 2x]
  0x821736C8  sub_821736C8  [called 1x]
  0x821738F8  sub_821738F8  [called 2x]
  0x82174858  sub_82174858  [called 1x]
  0x82174918  sub_82174918  [called 1x]
  0x821750D0  sub_821750D0  [called 1x]
