auto_namer_v5b Results
======================================================================

Pass P1    :     0
Pass P1r   :    52
Pass P2    :     0
Pass P6    :     0
Pass P7    :     1
Pass P8f   :   842
Pass P8fw  :    21
Pass P8r   :   658
Pass P8rh  :   156
Pass P9    :     0
Pass P10   :     0
Total renames:    1730
fn_8 fixed:       1678
Remaining:        5404
Coverage:         23.7%

======================================================================
DETAIL
======================================================================
  [P8r  ] 0x82137BF8  game_7BF8_7BF8                                           rev 3/7 callers 'game'
  [P8f  ] 0x82138110  game_8110                                                fwd 3/6 'game'
  [P8f  ] 0x8213B870  game_B870                                                fwd 5/10 'game'
  [P8f  ] 0x8213CEE8  game_CEE8                                                fwd 3/6 'game'
  [P8r  ] 0x8213EBC8  game_EBC8                                                rev 2/3 callers 'game'
  [P8f  ] 0x8213EC70  game_EC70                                                fwd 2/3 'game'
  [P8f  ] 0x82140420  game_0420_0420                                           fwd 2/3 'game'
  [P8r  ] 0x821405F8  game_05F8                                                rev 2/2 callers 'game'
  [P8f  ] 0x82140770  game_0770                                                fwd 5/11 'game'
  [P8f  ] 0x82140F08  game_0F08                                                fwd 4/8 'game'
  [P8f  ] 0x82141470  game_1470                                                fwd 4/11 'game'
  [P8f  ] 0x82141C80  game_1C80                                                fwd 2/3 'game'
  [P8r  ] 0x82142278  game_2278                                                rev 4/8 callers 'game'
  [P8f  ] 0x821425A8  game_25A8                                                fwd 2/3 'game'
  [P8f  ] 0x82142958  game_2958_2958                                           fwd 5/14 'game'
  [P8f  ] 0x821435E0  game_35E0                                                fwd 2/4 'game'
  [P8f  ] 0x821439F8  game_39F8                                                fwd 2/3 'game'
  [P1r  ] 0x82145458  pongShadowMap_GenerateShadowMaps                         string ref (was pongShadowMap_GenerateShadowMaps_5458_5458_5458_5458_5458_5458_5458_5458)
  [P8r  ] 0x8214AC78  game_AC78                                                rev 6/10 callers 'game'
  [P8f  ] 0x8214B028  game_B028_B028                                           fwd 3/8 'game'
  [P1r  ] 0x8214B4E8  crSkeketonData_AllocateAndLoad                           string ref (was cr_SkeketonData_AllocateAndLoad_B4E8_B4E8_B4E8_B4E8_B4E8_B4E8_B4E8)
  [P8f  ] 0x8214C9C8  game_C9C8                                                fwd 2/3 'game'
  [P8f  ] 0x8214CE88  game_CE88_CE88                                           fwd 3/6 'game'
  [P8f  ] 0x8214D170  game_D170                                                fwd 3/6 'game'
  [P8r  ] 0x8214EAE8  grc_EAE8                                                 rev 2/2 callers 'grc'
  [P8r  ] 0x8214EFE8  grcTextureFactoryXenon_EFE8                              rev 2/2 callers 'rage::grcTextureFactoryXenon'
  [P8rh ] 0x821503A8  game_03A8_h                                              rev private helper 'game' sz=76
  [P8f  ] 0x82152440  game_2440                                                fwd 2/4 'game'
  [P8f  ] 0x82152788  game_2788                                                fwd 2/5 'game'
  [P8f  ] 0x82153D18  game_3D18                                                fwd 2/3 'game'
  [P8r  ] 0x821569C0  grc_69C0                                                 rev 2/2 callers 'grc'
  [P8r  ] 0x82156DD8  ke_6DD8                                                  rev 2/2 callers 'ke'
  [P8r  ] 0x82159660  game_9660                                                rev 2/3 callers 'game'
