auto_namer.py  –  Results
============================================================

Pass 1  (string refs):        0
Pass 2  (thunks):           143
Pass 3  (call patterns):    617
Pass 4  (stubs/nops):       168
──────────────────────────────
Total named this run:       928
Previously unnamed:        8634
Coverage:                 10.7%

============================================================
DETAIL (sorted by address)
============================================================
  0x821E0D58  rage_0D58                                           [calls 2x into 'rage' module]
  0x821E0DB8  nop_0DB8                                            [stub/nop body]
  0x821E0EA0  nop_0EA0                                            [stub/nop body]
  0x821E7908  thunk_fn_821E7AD0                                   [thunk -> fn_821E7AD0]
  0x821E7BC0  vtthunk_821E7BC0                                    [vtable thunk (3 insns, ends bctr)]
  0x821E7FF8  nop_7FF8                                            [stub/nop body]
  0x821E9370  thunk_game_8988                                     [thunk -> game_8988]
  0x821EAA80  rage_AA80                                           [calls 3x into 'rage' module]
  0x821EAB08  game_AB08                                           [calls 22x into 'game' module]
  0x821EB7F8  game_B7F8                                           [calls 2x into 'game' module]
  0x821EBD70  game_BD70                                           [calls 2x into 'game' module]
  0x821EBE98  game_BE98                                           [calls 2x into 'game' module]
  0x821EC338  game_C338                                           [calls 2x into 'game' module]
  0x821EC580  game_C580                                           [calls 2x into 'game' module]
  0x821EC6A8  game_C6A8                                           [calls 2x into 'game' module]
  0x821EC7D0  game_C7D0                                           [calls 2x into 'game' module]
  0x821ECA20  game_CA20                                           [calls 2x into 'game' module]
  0x821ECB48  game_CB48                                           [calls 2x into 'game' module]
  0x821ECD98  game_CD98                                           [calls 2x into 'game' module]
  0x821ECFE8  game_CFE8                                           [calls 2x into 'game' module]
  0x821ED110  game_D110                                           [calls 2x into 'game' module]
  0x821ED358  game_D358                                           [calls 2x into 'game' module]
  0x821ED480  game_D480                                           [calls 2x into 'game' module]
  0x821ED780  game_D780                                           [calls 2x into 'game' module]
  0x821EDCA8  nop_DCA8                                            [stub/nop body]
  0x821EDCB8  nop_DCB8                                            [stub/nop body]
  0x821F0410  game_0410                                           [calls 4x into 'game' module]
  0x821F0578  game_0578                                           [calls 2x into 'game' module]
